full_text,sentiment,created_at,tweet_id
"Tell #Twitter that we won’t tolerate #Musk &amp; #Trump.

Commit to a boycott if they allow these fascist oligarchs.

#TakeThePledge 

I will boycott Twitter if #Trump returns.",0.13127124,2022-04-05 22:38:46,1511473450178600962
"I'll bet if #KimJongUn sets off a missile again it burn a few countries undies..
#Trump was a great loss. R had 4 years of peace. The world had peace.",0.4857659,2022-04-05 22:38:55,1511473483875815429
"@laurenboebert @elonmusk I will NEVER use Twitter again the way I use other, better social media apps! #Trump won’t come back &amp; TS is the place to be. Great interaction levels, yes, some LibNuts, but we fix that easily if necessary.",0.49670142,2022-04-05 22:40:53,1511473981244776457
"Last Week, the #Biden Administration launched https://t.co/ziuzBX02zx, a new one-stop shop to help all people in the United States gain even better access to lifesaving tools like vaccines, tests, treatments, and masks, as well as get the latest updates on #COVID19 in their area.",0.3433382,2022-04-05 22:41:05,1511474031190491143
"#IvankaTrump Does anybody even think for a second that she’s going to say anything that would incriminate #Trump , herself or her husband..NO",0.3092075,2022-04-05 22:41:55,1511474240951889920
"@uga_scott As someone once said: The difference between a conspiracy and the truth is about a year.
#Trump was right about everything, and everything the Left censored and called a conspiracy was and is true.
#Durham just revealed #Sussmann's lie and called the joint venture a CONSPIRACY!",0.28360063,2022-04-05 22:42:39,1511474424788271110
".@POTUS, @jensstoltenberg and @OlafScholz are feeble and hesitant at best.

Stand up to Putin!

Now!

#BuchaGenocide #Bucha 
#Biden #HelpUkraine #NATOINUKRAINENOW",0.6760216,2022-04-05 22:42:43,1511474443150897161
@EenuffCed @sullivanmoseley 1/3 of America can relate to #Trump.  I suspect many of them have multiple failures in their own lives.  Makes you wonder.,0.25643003,2022-04-05 22:43:03,1511474526650916866
"@CNN It would be a damn shame if someone created a GIGANTIC (over 400, so far, I keep finding more) thread showing the history of GOP/Trump and putin/russia collusion. Oh wait…

https://t.co/NLn7oSgFip",0.29829657,2022-04-05 22:43:23,1511474608062574595
@maxapotter @UROCKlive1 #trumptards 👍🏻👍🏻👍🏻👍🏻#Trump #QAnonCult #TrumpIsARussianAsset #quotes #PresidentTrump is a loser! #Donald Trump #TRUMPBACKONTWITTER ha! Never happen!!,0.5634836,2022-04-05 22:43:41,1511474685183086601
#COVID Chronology Article 73 is out w/ 13 new charts. Watch #NY cases. https://t.co/nt7b93aVcK #RNC #DNC #POTUS #WHCOS #markknoller #Biden #pelosi #Whitehouse #XD #XE #Omicron #Bloomberg #Thailand #fx #fxstreetnews #forexlive #zerohedge #FoxBusiness #Business #investing #Bitcoin,0.57786924,2022-04-05 22:44:45,1511474953216225283
"@TNTVIRALUS @nowthisnews #Putin has destroyed #Ukraine. #Biden and #NATO are equally responsible. All of you piled up armies and lethal weapons at the borders, creating a warlike environment, pumping and encouraging #Zelensky, and then leaving him alone to face the music. #WarsSolveNoProblems #Go4Peace",0.33273184,2022-04-05 22:45:10,1511475057704554500
"Followup on Sen. Barrasso (R-WY) and #Biden misappropriation of oil reserves: Carter energy Czar Deutch noted during Kuwait invasion it was meant to be ""tactical,"" not ""strategic,"" a ""deterrent"" not for use in #Russia invasion of #Ukraine.. ccrf #NATO
https://t.co/xsiLY4c1Cg https://t.co/rM2dm4coK9",0.44857338,2022-04-05 22:45:36,1511475166546604043
"#GOPRussianAssets #GOPtheRussianPartyofTraitors #GOP @GOP @TuckerCarlson @FoxNews @laurenboebert @RepMTG #PutinWarCrimes #PutinIsaWarCriminal #trump @sumlenny #Republicans 

Trump and Republicans defend this genocide.

They are traitors to democracy.",0.19550726,2022-04-05 22:45:51,1511475231575052290
"Do people asking for a No fly zone understand that this will not just save lives? It will escalate so quickly that will put millions in danger and definitely #WW3.

#UkraineRussiaWar #Russia #Biden #Putin https://t.co/v3ty9VXsOZ",0.30799806,2022-04-05 22:45:54,1511475243516375041
#BidenWorstPresidentEver you can't hide your failure in leading #America by using #Ukraine as a bait to runaway from your responsibilities towards this nation #Warisevil #Zelensky  #PeaceInUkraine #Trump #Europe #Iraq #Afghanistan,0.45571002,2022-04-05 22:46:15,1511475329889677313
"@DeRussoGary @elonmusk I agree Gary….. on principal alone #Trump will not go back on Twitter.
They have also done all this work on #TruthSocial so that will be the platform he communicates with us through going forward.",0.41635722,2022-04-05 22:46:46,1511475461603397634
"@Nigel_Farage Why did #Trump  Depart of Justice dismiss anti-nepotism guidelines and precedent to let Jared and Ivanka work in the White House? They said they divested from conflicts of interest but analysis of their financials show they  made $640 million while in WH. 
#TrumpCrimeFamily",0.23791796,2022-04-05 22:47:21,1511475606193586181
"@orphee92 Why did #Trump  Department of Justice dismiss anti-nepotism guidelines and  precedent to let Jared and Ivanka work in the White House? They said they divested from conflicts of interest but analysis of their financials show they  made $640 million while in WH. 
#ArrestTrumpNow",0.23215842,2022-04-05 22:47:46,1511475712905170947
"@SenateForeign 700 Trucks a day are needed to save lives, not 20. When we see you so excited about 20 trucks we suspect you have something to do with the whole humanitarian disaster in #Tigray of course #Trump blessed the war so #Joe is just helping it escalate. You won't hv done zs 2 Ukraine",0.44806996,2022-04-05 22:47:55,1511475749684977671
